REPYR,REPORT_NUM,FAC NAME,CHEM NAME,TRIFACID,FAC STREET1,FAC CITY,FAC ZIP,FAC COUNTY,CAS_NO,TECH NAME,TECH PHONE,TECH E-ADDRESS,CONT NAME,CONT PHONE,CONT_E-ADDRESS,NAICS,NAICS1,NAICS2,NAICS3,NAICS4,NAICS5,NAICS6,FORM A,FORM R,REVISION,REVISIONCODE1,REVISIONCODE2,WITHDRAWAL,WITHDRAWALCODE1,WITHDRAWALCODE2,MAX ONSITE,FUGITIVE,STACK,WATER1,RIVER1,WATER2,RIVER2,RCRA REL,LANDFILL,LANDFARM,LANDIMP,LANDIMP OTHR,LANDOTHR,METAL,METAL TO POTW,POTW,POTW2,OFF TRE,OFF STE REL1,OFF STE TRE1,OFF STATE1,OFF STE REL2,OFF STE TRE2,OFF STATE2,OFF STE REL3,OFF STE TRE3,OFF STATE3,OFF STE REL4,OFF STE TRE4,OFF STATE4,OFF STE REL5,OFF STE TRE5,OFF STATE5,OFF STE REL6,OFF STE TRE6,OFF STATE6,OFF STE REL7,OFF STE TRE7,OFF STATE7,OFF STE REL8,OFF STE TRE8,OFF STATE8,OFF STE REL9,OFF STE TRE9,OFF STATE9,ON ER B,OFF ER B,ON RCY B,OFF RCY B,ON TRE B,NON POTW OFF TRE,ACCID,P INDEX,CALC REL B,CALC OFF DIS,CALC OFF ER B,CALC OFF RCY B,RELEASE B,REL 81 A,REL 81 B,REL 81 C,REL 81 D,TOTAL TO AIR,TOTAL TO LAND,TOTAL TO WATER,FAC MAILSTREET1,FAC MAILCITY,FAC MAILSTREET2,FAC MAILSTATE,FAC MAILZIP,FAC MAILCOUNTY,CERT NAME,CERT TITLE,RIVERPERCENT1,RIVERPERCENT2,FUGITIVEBASIS,STACKBASIS,BASISCODE1,BASISCODE2,RCRA RELBASIS,LANDFILLBASIS,LANDFARMBASIS,LANDIMPBASIS,LANDIMP OTHRBASIS,LANDOTHRBASIS,POTWBASIS1,POTWFAC1,POTWCITY1,POTWSTATE1,POTWBASIS2,POTWFAC2,POTWCITY2,POTWSTATE2,OFF CITY1,OFF NAME1,OFF BASIS1,OFF CITY2,OFF NAME2,OFF BASIS2,OFF CITY3,OFF NAME3,OFF BASIS3,OFF CITY4,OFF NAME4,OFF BASIS4,OFF CITY5,OFF NAME5,OFF BASIS5,OFF CITY6,OFF NAME6,OFF BASIS6,OFF CITY7,OFF NAME7,OFF BASIS7,OFF CITY8,OFF NAME8,OFF BASIS8,OFF CITY9,OFF NAME9,OFF BASIS9,Geocoded Facility Location
2019,5148,ROHM & HAAS B5 B6,"4,4'-Methylenebis(2-chloroaniline)",19713RDLTC351BE,351 BELLEVUE RD,NEWARK,19713,New Castle,101-14-4,NICHOLAS SAPONE,3023660500,nicholas.r.sapone@dupont.com,PETER PALENA,3023660500,peter.palena@dupont.com,313,313320,325991,,,,,0,1,0,,,0,,,4,0,0.51,0,,0,,0,0,0,0,0,0,0,0,0,0,1083,1083,M95,PA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,1083,0,1,0.51,0,0,0,0,0,0.51,0,0,0.51,0,0,451 BELLEVUE RD,NEWARK,,DE,19713,,Leslie Croskey,Site Leader,0,0,,O,,,,,,,,,,,,,,,,,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,,,,,,,,,,,,,,,,,,,,,,,,,"351 BELLEVUE RD
NEWARK, DE 19713
(39.64956, -75.739821)"
2019,5149,ROHM & HAAS B5 B6,Diisocyanates,19713RDLTC351BE,351 BELLEVUE RD,NEWARK,19713,New Castle,N120,NICHOLAS SAPONE,3023660500,nicholas.r.sapone@dupont.com,PETER PALENA,3023660500,peter.palena@dupont.com,313,313320,325991,,,,,0,1,0,,,0,,,4,1,1.01,0,,0,,0,0,0,0,0,0,0,0,0,0,12200,11783,M95,PA,417,M69,NJ,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,12200,0,1,2.01,0,0,0,0,0,2.01,0,0,2.01,0,0,451 BELLEVUE RD,NEWARK,,DE,19713,,Leslie Croskey,Site Leader,0,0,O,O,,,,,,,,,,,,,,,,,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,SOUTH PLAINFIELD,RECYCLE INC.,O,,,,,,,,,,,,,,,,,,,,,,"351 BELLEVUE RD
NEWARK, DE 19713
(39.64956, -75.739821)"
2019,5150,ROHM & HAAS B5 B6,N-Methyl-2-pyrrolidone,19713RDLTC351BE,351 BELLEVUE RD,NEWARK,19713,New Castle,872-50-4,NICHOLAS SAPONE,3023660500,nicholas.r.sapone@dupont.com,PETER PALENA,3023660500,peter.palena@dupont.com,313,313320,325991,,,,,0,1,0,,,0,,,3,1980,132,0,,0,,0,0,0,0,0,0,0,0,0,0,591,47975,M93,PA,1256,M94,PA,591,M69,NJ,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,47975,0,591,0,1,3368,1256,0,0,0,0,2112,0,1256,2112,0,0,451 BELLEVUE RD,NEWARK,,DE,19713,,Leslie Croskey,Site Leader,0,0,E2,E2,,,,,,,,,,,,,,,,,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,SOUTH PLAINFIELD,RECYCLE INC.,O,,,,,,,,,,,,,,,,,,,"351 BELLEVUE RD
NEWARK, DE 19713
(39.64956, -75.739821)"
2019,5146,ROHM & HAAS B7 B15,"4,4'-Methylenebis(2-chloroaniline)",19713RHMHS5BELL,50 BELLEVUE RD,NEWARK,19713,New Castle,101-14-4,NICHOLAS SAPONE,3023660500,nicholas.r.sapone@dupont.com,PETER PALENA,3023660500,peter.palena@dupont.com,313,313320,325991,,,,,0,1,0,,,0,,,3,0,0.036,0,,0,,0,0,0,0,0,0,0,0,0,0,203,203,M95,PA,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,203,0,0.94,0.036,0,0,0,0,0,0.036,0,0,0.036,0,0,451 BELLEVUE RD,NEWARK,,DE,19713,,Leslie Croskey,Site Leader,0,0,,O,,,,,,,,,,,,,,,,,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,,,,,,,,,,,,,,,,,,,,,,,,,"50 BELLEVUE RD
NEWARK, DE 19713
(39.649222, -75.744454)"
2019,5147,ROHM & HAAS B7 B15,N-Methyl-2-pyrrolidone,19713RHMHS5BELL,50 BELLEVUE RD,NEWARK,19713,New Castle,872-50-4,NICHOLAS SAPONE,3023660500,nicholas.r.sapone@dupont.com,PETER PALENA,3023660500,peter.palena@dupont.com,313,313320,325991,,,,,0,1,0,,,0,,,3,660,52,0,,0,,0,0,0,0,0,0,0,0,0,0,197,9358,M93,PA,220,M94,PA,197,M69,NJ,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,9358,0,197,0,0.94,932,220,0,0,0,0,712,0,220,712,0,0,451 BELLEVUE RD,NEWARK,,DE,19713,,Leslie Croskey,Site Leader,0,0,E1,E2,,,,,,,,,,,,,,,,,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,HATFIELD,REPUBLIC ENVIRONMENTAL SYSTEMS,O,SOUTH PLAINFIELD,RECYCLE INC.,O,,,,,,,,,,,,,,,,,,,"50 BELLEVUE RD
NEWARK, DE 19713
(39.649222, -75.744454)"
2019,5145,SIMMONS BRIDGEVILLE,Nitrate Compounds,1993WSMMNS8141S,8141 SEASHORE HWY,BRIDGEVILLE,19933,Sussex,N511,SETH WALTERS,4797528771,SETH.WALTERS@SIMFOODS.COM,JULIE MAUS,4795248151,JULIE.MAUS@SIMFOODS.COM,311,311111,,,,,,0,1,0,,,0,,,3,0,0,0,,0,,0,0,0,0,0,0,0,0,60339,0,0,0.35,M79,AR,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.02,60339.35,60339.35,0,0,0,0,0,0,60339.35,0,0,0,601 NORTH HICO,SILOAM SPRINGS,,AR,72722,,SETH WALTERS,Director of Environmental Quality,0,0,,,,,,,,,,,C,BRIDGEVILLE WASTEWATER TREATMENT PLANT,BRIDGEVILLE,DE,,,,,RUSSELLVILLE,DENALI WATER SOLUTIONS,C,,,,,,,,,,,,,,,,,,,,,,,,,"8141 SEASHORE HWY
BRIDGEVILLE, DE 19933
(38.744616, -75.610057)"
2019,5092,SPI PHARMA,Chlorine,19958BRCRF40CAP,40 CAPE HENLOPEN DR,LEWES,19958,Sussex,7782-50-5,PAUL H SWARM,3023607273,PSWARM@SPIPHARMA.COM,JOHN CREIGHTON,6162838506,Jcreight@spipharma.com,325,325412,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 CAPE HENLOPEN DR,LEWES,,DE,19958,,John Creighton,VP - Global Supply and Manufacturing,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40 CAPE HENLOPEN DR
LEWES, DE 19958
(38.781821, -75.105817)"
2019,5093,SPI PHARMA,Nitric acid,19958BRCRF40CAP,40 CAPE HENLOPEN DR,LEWES,19958,Sussex,7697-37-2,PAUL H SWARM,3023607273,PSWARM@SPIPHARMA.COM,JOHN CREIGHTON,6162838506,Jcreight@spipharma.com,325,325412,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 CAPE HENLOPEN DR,LEWES,,DE,19958,,John Creighton,VP - Global Supply and Manufacturing,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"40 CAPE HENLOPEN DR
LEWES, DE 19958
(38.781821, -75.105817)"
2019,5479,TWINCO ROMAX,Ethylene glycol,1980WCRWLL1CRWE,1 CROWELL RD,WILMINGTON,19804,New Castle,107-21-1,CHRIS SEAY,3023836925,chris.seay@highlinewarren.com,CHRIS SEAY,3023836925,chris.seay@highlinewarren.com,325,325998,,,,,,0,1,0,,,0,,,4,0,0,0,,0,,0,0,0,0,0,0,0,,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,4.6,0,0,0,0,0,0,0,0,0,0,0,0,4500 MALONE ROAD,MEMPHIS,,TN,38119,New Castle,Janet Rosenbaum,Director Corporate EHS,0,0,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 CROWELL RD
WILMINGTON, DE 19804
(39.711017, -75.622473)"
2019,5063,TWINCO ROMAX,Methanol,1980WCRWLL1CRWE,1 CROWELL RD,WILMINGTON,19804,New Castle,67-56-1,CHRIS SEAY,3023836925,CHRIS.SEAY@TWINCOROMAX.COM,CHRIS SEAY,3023836925,CHRIS.SEAY@TWINCOROMAX.COM,325,325998,,,,,,0,1,0,,,0,,,5,775,1862,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.1,2637,0,0,0,0,0,2637,0,0,2637,0,0,4500 MALONE ROAD,MEMPHIS,,TN,38119,,Christopher Seay,General Manager,0,0,E2,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 CROWELL RD
WILMINGTON, DE 19804
(39.711017, -75.622473)"
2019,5050,V&S DELAWARE GALVANIZING,Lead,1972WVSDLW511CA,511 CARROLL DRIVE,NEW CASTLE,19720,New Castle,7439-92-1,IONUT ROIBU,3023221420,JOHNNYR@HOTDIPGALV.COM,IONUT ROIBU,3023221420,JOHNNYR@HOTDIPGALV.COM,332,332812,,,,,,0,1,0,,,0,,,3,7.4,0.8,3,ARMY CREEK,0,,0,0,0,0,0,0,1,0,0,0,0,983.2,M24,MA,281.5,M81,OH,107.3,M24,TX,52.4,M24,NC,10,M64,PA,0,,,0,,,0,,,0,,,0,0,1878,1142.9,0,0,0,1.21,302.7,291.5,0,0,0,0,11.2,291.5,0,8.200000000000001,0,3,,,,,,,ionut roibu,Operation Manager,100,0,M2,M2,M2,,,,,,,,,,,,,,,,Andover,SB Enterprises,M2,VICKERY,VICKERY ENVIRONMENTAL INC,M2,HOUSTON,GULF REDUCTION DUST DIVISION,M2,Raleigh,EverZinc USA,M2,LANCASTER,LANCASTER OIL CO,M2,,,,,,,,,,,,,"511 CARROLL DRIVE
NEW CASTLE, DE 19720
(39.652712, -75.597299)"
2019,5051,V&S DELAWARE GALVANIZING,Zinc Compounds,1972WVSDLW511CA,511 CARROLL DRIVE,NEW CASTLE,19720,New Castle,N982,IONUT ROIBU,3023221420,JOHNNYR@HOTDIPGALV.COM,IONUT ROIBU,3023221420,JOHNNYR@HOTDIPGALV.COM,332,332812,,,,,,0,1,0,,,0,,,5,463.7,47.1,318,ARMY CREEK,0,,0,0,0,0,0,0,1,0,0,0,0,115437,M24,MA,39345,M81,OH,37584,M24,TX,18336,M24,NC,14560,M90,PA,788,M64,PA,0,,,0,,,0,,,0,0,371409,171357,0,0,0,1.21,55521.8,54693,0,0,0,0,828.8,40133,14560,510.8,0,318,,,,,,,ionut roibu,Operation Manager,100,0,M2,M2,M2,,,,,,,,,,,,,,,,Andover,SB Enterprises,M2,VICKERY,VICKERY ENVIRONMENTAL INC,M2,HOUSTON,GULF REDUCTION DUST DIVISION,M2,Raleigh,EverZinc USA,M2,YORK,ENVIRITE OF PENNSYLVANIA INC,M2,LANCASTER,LANCASTER OIL CO,M2,,,,,,,,,,"511 CARROLL DRIVE
NEW CASTLE, DE 19720
(39.652712, -75.597299)"
2019,5077,VEOLIA  - RED LION PLANT,Hydrazine,19706DPNTR766GV,766 GOVERNOR LEA RD,NEW CASTLE,19720,New Castle,302-01-2,ALEX MADRID,9158613978,ALEXANDER.MADRID@VEOLIA.COM,DANIEL FRATTARELLI,3028345901,DANIEL.FRATTARELLI@VEOLIA.COM,325,325180,,,,,,0,1,0,,,0,,,3,0.03,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.1,0.03,0,0,0,0,0,0.03,0,0,0.03,0,0,,,,,,,Daniel Frattarelli,Plant Manager,0,0,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"766 GOVERNOR LEA RD
NEW CASTLE, DE 19720
(39.598121, -75.636994)"
2019,5078,VEOLIA  - RED LION PLANT,Hydrazine sulfate,19706DPNTR766GV,766 GOVERNOR LEA RD,NEW CASTLE,19720,New Castle,10034-93-2,ALEX MADRID,9158613978,ALEXANDER.MADRID@VEOLIA.COM,DANIEL FRATTARELLI,3028345901,DANIEL.FRATTARELLI@VEOLIA.COM,325,325180,,,,,,0,1,0,,,0,,,2,0,0.12,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.1,0.12,0,0,0,0,0,0.12,0,0,0.12,0,0,,,,,,,Daniel Frattarelli,Plant Manager,0,0,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"766 GOVERNOR LEA RD
NEW CASTLE, DE 19720
(39.598121, -75.636994)"
2019,5079,VEOLIA  - RED LION PLANT,Hydrogen Sulfide,19706DPNTR766GV,766 GOVERNOR LEA RD,NEW CASTLE,19720,New Castle,7783-06-4,ALEX MADRID,9158613978,ALEXANDER.MADRID@VEOLIA.COM,DANIEL FRATTARELLI,3028345901,DANIEL.FRATTARELLI@VEOLIA.COM,325,325180,,,,,,0,1,0,,,0,,,1,172.49,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.1,172.49,0,0,0,0,0,172.49,0,0,172.49,0,0,,,,,,,Daniel Frattarelli,Plant Manager,0,0,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"766 GOVERNOR LEA RD
NEW CASTLE, DE 19720
(39.598121, -75.636994)"
2019,5080,VEOLIA  - RED LION PLANT,Sulfuric acid,19706DPNTR766GV,766 GOVERNOR LEA RD,NEW CASTLE,19720,New Castle,7664-93-9,ALEX MADRID,9158613978,ALEXANDER.MADRID@VEOLIA.COM,DANIEL FRATTARELLI,3028345901,DANIEL.FRATTARELLI@VEOLIA.COM,325,325180,,,,,,0,1,0,,,0,,,5,1928,554,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1.1,2482,0,0,0,0,0,2482,0,0,2482,0,0,,,,,,,Daniel Frattarelli,Plant Manager,0,0,O,O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"766 GOVERNOR LEA RD
NEW CASTLE, DE 19720
(39.598121, -75.636994)"
2019,5182,VP RACING FUELS,Lead Compounds,19714VPRCN16BRO,16 BROOKHILL DR,NEWARK,19702,New Castle,N420,Daniel C Leandri,7175163164,daniel.leandri@hdrinc.com,SUSAN GRAY,2106357744,susan.gray@vpracingfuels.com,324,324199,,,,,,0,1,0,,,0,,,2,0,0,0,,0,,0,0,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Cheryl  Grudzieski,Regulatory & Compliance Coordinator,0,0,,E2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16 BROOKHILL DR
NEWARK, DE 19702
(39.64839, -75.728629)"
2019,5183,VP RACING FUELS,Toluene,19714VPRCN16BRO,16 BROOKHILL DR,NEWARK,19702,New Castle,108-88-3,Daniel Leandri,7175163164,daniel.leandri@hdrinc.com,SUSAN GRAY,2106357744,susan.gray@vpracingfuels.com,324,324199,,,,,,1,0,0,,,0,,,,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,Cheryl  Grudzieski,Regulatory & Compliance Coordinator,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16 BROOKHILL DR
NEWARK, DE 19702
(39.64839, -75.728629)"
2019,5152,W.L. GORE,Lead,1971WWLGRS555PA,555 PAPER MILL RD,NEWARK,19711,New Castle,7439-92-1,Matthew Rendon,4435662545,mrendon@wlgore.com,Matthew Rendon,4435662545,mrendon@wlgore.com,334,334417,,,,,,0,1,0,,,0,,,2,0,0.3,0,,0,,0,0,0,0,0,0,1,0,0,0,0,6.7,M41,MI,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,0,0,0,7,6.7,0,0,0,0,0.3,0,6.7,0.3,0,0,,,,,,,Joyce Luff,Plant Leader,0,0,,M2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"555 PAPER MILL RD
NEWARK, DE 19711
(39.706428, -75.745716)"
2018,4856,AEARO TECHNOLOGIES LLC,Diisocyanates,19713SPCLT650DA,650 DAWSON DR,NEWARK,19713,New Castle,N120,JON RENEBERG,3179823323,JERENEBERG@MMM.COM,TOM FLAHERTY,3022862415,TOM.FLAHERTY@MMM.COM,326,326150,,,,,,0,1,0,,,0,,,4,1.54,0.995,0,,0,,0,0,0,0,0,0,0,,0,0,10025,10025,M50,MN,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,10025,0,1.32,2.535,0,0,0,0,0,2.535,0,0,2.535,0,0,,,,,,,Tom Flaherty,Plant Manager,0,0,E1,E2,,,,,,,,,,,,,,,,,COTTAGE GROVE,3M COTTAGE GROVE CENTER,C,,,,,,,,,,,,,,,,,,,,,,,,,"650 DAWSON DR
NEWARK, DE 19713
(39.650748, -75.731018)"
2018,4857,AEARO TECHNOLOGIES LLC,Toluene diisocyanate (mixed isomers),19713SPCLT650DA,650 DAWSON DR,NEWARK,19713,New Castle,26471-62-5,JON RENEBERG,3179823323,JERENEBERG@MMM.COM,TOM FLAHERTY,3022862415,TOM.FLAHERTY@MMM.COM,326,326150,,,,,,0,1,0,,,0,,,4,3.919,0.853,0,,0,,0,0,0,0,0,0,0,,0,0,1418,1418,M50,MN,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,0,0,0,1418,0,1.07,4.772,0,0,0,0,0,4.772,0,0,4.772,0,0,,,,,,,Tom Flaherty,Plant Manager,0,0,E1,E2,,,,,,,,,,,,,,,,,COTTAGE GROVE,3M COTTAGE GROVE CENTER,C,,,,,,,,,,,,,,,,,,,,,,,,,"650 DAWSON DR
NEWARK, DE 19713
(39.650748, -75.731018)"
2018,4953,AGILENT TECHNOLOGIES,Acetonitrile,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,75-05-8,BRADEN CASE,3026338323,braden.case@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,82,0,,0,,0,0,0,0,0,0,0,,0,0,0,22157,M56,NJ,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22157,0,0,0,0,0,1.01,87,0,0,0,0,0,87,0,0,87,0,0,"ATTN: BRADEN CASE, 2850 CENTER",WILMINGTON,,DE,19808,,ESMERALDA ANAYA,WPS SITE MANAGER,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,MARISOL INCORPORATED,C,,,,,,,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2018,4954,AGILENT TECHNOLOGIES,Methanol,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,67-56-1,BRADEN CASE,3026338323,braden.case@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,1771,0,,0,,0,0,0,0,0,0,0,,0,0,246,57123,M56,NJ,246,M50,IL,51,M56,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,57174,0,0,0,246,0,1.1,1776,0,0,0,0,0,1776,0,0,1776,0,0,"ATTN: BRADEN CASE, 2850 CENTER",WILMINGTON,,DE,19808,,ESMERALDA ANAYA,WPS SITE MANAGER,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,MARISOL INCORPORATED,C,SAUGET,VEOLIA TECHNICAL SOLUTIONS LLC,C,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2018,4955,AGILENT TECHNOLOGIES,Toluene,19804RCKLN538FI,538 FIRST STATE BLVD.,NEWPORT,19804,New Castle,108-88-3,BRADEN CASE,3026338323,braden.case@AGILENT.COM,RENEE LEWANDOWSKI,3026363668,RENEE_LEWANDOWSKI@AGILENT.COM,325,325998,,,,,,0,1,0,,,0,,,3,5,39,0,,0,,0,0,0,0,0,0,0,,0,0,660,130253,M56,NJ,660,M50,TX,5,M92,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,130258,0,0,0,660,0,1.01,44,0,0,0,0,0,44,0,0,44,0,0,"ATTN: BRADEN CASE, 2850 CENTER",WILMINGTON,,DE,19808,,ESMERALDA ANAYA,WPS SITE MANAGER,0,0,O,E1,,,,,,,,,,,,,,,,,MIDDLESEX,MARISOL INCORPORATED,C,PORT ARTHUR,VEOLIA ES TECHNICAL SOLUTIONS,C,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,"538 FIRST STATE BLVD.
NEWPORT, DE 19804
(39.712434, -75.634616)"
2018,4859,AIR LIQUIDE ADVANCED SEPARATIONS,Cyclohexane,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,110-82-7,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,3,5,9060,0,,0,,0,0,0,0,0,0,0,,0,0,0,8014,M56,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,8014,0,0,0,0,0,1,9065,0,0,0,0,0,9065,0,0,9065,0,0,,,,,,,Sarang Gadre,General Manager,0,0,O,E2,,,,,,,,,,,,,,,,,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2018,4860,AIR LIQUIDE ADVANCED SEPARATIONS,Methanol,19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,67-56-1,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,4,5,3,0,,0,,0,0,0,0,0,0,0,,0,0,91027,91027,M61,MD,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,0,2882537,0,0,91027,0,1.5,8,0,0,0,0,0,8,0,0,8,0,0,,,,,,,Sarang Gadre,General Manager,0,0,O,C,,,,,,,,,,,,,,,,,BALTIMORE,"CLEAN HARBORS OF BALTIMORE, IN",C,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
2018,4861,AIR LIQUIDE ADVANCED SEPARATIONS,"N,N-Dimethylformamide",19804MDLLP305WA,305 WATER ST,NEWPORT,19804,New Castle,68-12-2,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,HARRISON ABINTEH,3022252137,HARRISON.ABINTEH@AIRLIQUIDE.COM,326,326199,,,,,,0,1,0,,,0,,,3,5,22,0,,0,,0,0,0,0,0,0,0,,18300,0,18300,4480,M56,OH,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,4480,0,0,0,0,0,1,27,0,0,0,0,0,27,0,0,27,0,0,,,,,,,Sarang Gadre,General Manager,0,0,O,E2,,,,,,,,,E2,"WILMINGTON WASTEWATER TREATMENT PLANT- 12TH ST & HAY RD, WIL",WILMINGTON,DE,,,,,WEST CARROLLTON,VEOLIA ES TECHNICAL SOLUTIONS,C,,,,,,,,,,,,,,,,,,,,,,,,,"305 WATER ST
NEWPORT, DE 19804
(39.711757, -75.604151)"
